cohort,organization,github_org,execution_mode,rationale,next_action
global,Sentry,getsentry,github,"Developer-first observability company with a broad public repository and SDK surface.","Inspect workflow density, CODEOWNERS coverage, SDK/release complexity, and active engineering surface."
global,Grafana Labs,grafana,github,"Large observability and infrastructure engineering surface spanning multiple major projects.","Inspect workflow standardization, ownership structure, release surface, and platform-team indicators."
global,HashiCorp,hashicorp,github,"Infrastructure/devtools benchmark with many providers, shared automation, and governance surfaces.","Inspect CI proliferation, provider scale, reusable automation, and governance complexity."
global,PostHog,PostHog,github,"Developer-first product company with core product, SDK, integration, and tooling repositories.","Inspect SDK coordination, product-versus-satellite repositories, and ownership/review signals."
global,Cloudflare,cloudflare,github,"Enterprise-scale developer platform with public SDK, IaC, agents, and platform repositories.","Inspect platform engineering scale, IaC footprint, CI surface, and repo governance maturity."
qatar,Qatar Computing Research Institute (QCRI),qcri,github,"Qatar-based technical research organization with a substantial public GitHub footprint.","Run the signal engine directly and inspect research/software governance and workflow signals."
qatar,Qatar Science & Technology Park (QSTP),,enrichment,"Technology ecosystem multiplier; better used to discover portfolio companies than as one GitHub account.","Resolve portfolio companies to verified GitHub organizations, then run those organizations through the engine."
qatar,Qatar Development Bank (QDB),,enrichment,"Startup and digital-transformation ecosystem source rather than a verified public engineering account.","Use QDB programs and portfolio data to build a Qatar account universe, then resolve GitHub identities."
qatar,Ooredoo Qatar,,enrichment,"Strategically relevant cloud, AI, cybersecurity, and infrastructure account without a verified org handle in this seed set.","Enrich subsidiaries and engineering entities first; only run verified public GitHub organizations."
qatar,Qatar Financial Centre (QFC),,enrichment,"Digital/FinTech/AI ecosystem node useful for account discovery rather than direct GitHub evidence collection.","Discover Qatar-based technology companies in the ecosystem and resolve their public GitHub organizations."
